order_item_id,order_id,product_id,quantity,price_per_unit,total_price
1,1,384,2,1140,2280
2,1,309,5,1193,5965
3,2,89,4,1739,6956
4,2,419,2,802,1604
5,3,272,4,211,844
6,4,146,5,1961,9805
7,5,469,3,355,1065
8,5,323,5,1836,9180
9,5,168,2,407,814
10,6,144,1,1452,1452
11,7,452,3,269,807
12,7,367,1,1656,1656
13,8,495,1,15,15
14,9,131,2,1118,2236
15,10,325,4,1009,4036
16,10,208,1,1428,1428
17,11,98,2,863,1726
18,12,276,4,357,1428
19,12,201,2,1036,2072
20,13,71,5,1408,7040
21,13,490,2,477,954
22,14,151,1,1307,1307
23,14,498,5,340,1700
24,14,279,1,422,422
25,15,188,2,1149,2298
26,15,381,2,1179,2358
27,16,103,5,1431,7155
28,17,121,3,941,2823
29,17,369,3,998,2994
30,18,7,2,958,1916
31,18,174,3,673,2019
32,18,87,2,340,680
33,19,337,2,1669,3338
34,19,495,4,15,60
35,20,102,1,1166,1166
36,20,414,3,1582,4746
37,21,256,4,935,3740
38,21,430,3,1407,4221
39,21,497,4,1361,5444
40,22,189,3,499,1497
41,23,390,4,1058,4232
42,24,122,1,721,721
43,24,32,4,866,3464
44,24,386,3,218,654
45,25,473,4,834,3336
46,25,219,2,1194,2388
47,25,37,5,1624,8120
48,26,463,2,1254,2508
49,27,480,3,897,2691
50,28,326,3,1373,4119
51,28,121,2,941,1882
52,28,184,5,1634,8170
53,29,298,2,522,1044
54,29,409,1,1692,1692
55,30,130,4,1429,5716
56,30,211,4,307,1228
57,31,425,2,469,938
58,31,98,2,863,1726
59,31,91,2,211,422
60,32,152,2,94,188
61,32,152,4,94,376
62,32,125,3,130,390
63,33,101,1,1146,1146
64,33,416,1,99,99
65,33,465,2,1453,2906
66,34,412,3,178,534
67,34,450,5,1191,5955
68,35,310,4,1700,6800
69,36,271,5,1646,8230
70,37,349,3,1645,4935
71,37,221,1,46,46
72,37,383,4,1495,5980
73,38,344,4,443,1772
74,38,437,2,464,928
75,38,243,3,970,2910
76,39,263,3,1758,5274
77,39,469,3,355,1065
78,40,492,2,90,180
79,41,301,4,1098,4392
80,41,61,4,593,2372
81,42,274,2,1752,3504
82,42,14,2,355,710
83,43,354,2,199,398
84,43,438,5,601,3005
85,44,56,1,908,908
86,45,440,5,1992,9960
87,45,247,2,1579,3158
88,46,195,1,1153,1153
89,46,313,2,1331,2662
90,47,484,5,384,1920
91,47,463,3,1254,3762
92,48,37,3,1624,4872
93,48,21,5,1275,6375
94,48,18,5,1403,7015
95,49,112,3,792,2376
96,49,26,2,161,322
97,50,497,2,1361,2722
98,50,274,5,1752,8760
99,51,290,4,943,3772
100,51,170,2,388,776
101,51,270,1,1453,1453
102,52,238,4,640,2560
103,52,499,3,975,2925
104,53,292,3,123,369
105,53,153,4,415,1660
106,53,241,4,1563,6252
107,54,184,1,1634,1634
108,54,292,3,123,369
109,54,391,1,1271,1271
110,55,251,3,1018,3054
111,55,131,2,1118,2236
112,56,67,3,1787,5361
113,56,21,3,1275,3825
114,56,429,4,152,608
115,57,66,2,1331,2662
116,57,24,5,575,2875
117,58,46,4,1595,6380
118,58,28,5,97,485
119,58,79,4,484,1936
120,59,319,1,486,486
121,59,243,4,970,3880
122,59,201,3,1036,3108
123,60,257,4,1040,4160
124,61,238,3,640,1920
125,61,266,2,851,1702
126,62,153,5,415,2075
127,62,406,4,909,3636
128,62,328,1,101,101
129,63,4,4,1906,7624
130,63,410,4,1240,4960
131,64,307,2,410,820
132,64,334,1,1824,1824
133,64,251,1,1018,1018
134,65,90,3,493,1479
135,65,341,5,1766,8830
136,66,480,2,897,1794
137,67,383,5,1495,7475
138,68,387,2,724,1448
139,69,338,4,621,2484
140,70,445,3,1076,3228
141,70,361,2,463,926
142,70,448,4,608,2432
143,71,183,1,1977,1977
144,71,482,1,1818,1818
145,72,297,4,217,868
146,73,25,4,1035,4140
147,73,359,5,1429,7145
148,73,292,5,123,615
149,74,389,2,1315,2630
150,74,19,1,895,895
151,75,61,5,593,2965
152,75,191,1,363,363
153,76,420,4,666,2664
154,77,478,1,996,996
155,77,90,1,493,493
156,77,415,2,387,774
157,78,105,5,603,3015
158,78,107,5,657,3285
159,78,332,1,1468,1468
160,79,124,1,922,922
161,80,431,2,281,562
162,80,33,3,340,1020
163,80,64,4,386,1544
164,81,19,2,895,1790
165,81,39,5,595,2975
166,82,423,4,543,2172
167,83,247,3,1579,4737
168,83,421,5,542,2710
169,83,323,5,1836,9180
170,84,370,5,423,2115
171,84,339,3,510,1530
172,85,266,4,851,3404
173,85,75,1,1033,1033
174,86,52,4,1582,6328
175,86,109,3,1990,5970
176,87,32,1,866,866
177,87,141,2,1037,2074
178,87,222,3,361,1083
179,88,99,1,335,335
180,88,226,5,1973,9865
